entity,iso_code,year,population
Austria,AUT,2020,8932664
Belgium,BEL,2020,11566041
Bulgaria,BGR,2020,6916548
Croatia,HRV,2020,4036355
Cyprus,CYP,2020,896005
Czechia,CZE,2020,10701777
Denmark,DNK,2020,5840045
Estonia,EST,2020,1330068
Finland,FIN,2020,5533793
France,FRA,2020,67439599
Germany,DEU,2020,83155031
Greece,GRC,2020,10423056
Hungary,HUN,2020,9730772
Ireland,IRL,2020,5006907
Italy,ITA,2020,59257566
Latvia,LVA,2020,1893223
Lithuania,LTU,2020,2795680
Luxembourg,LUX,2020,634730
Malta,MLT,2020,516100
Netherlands,NLD,2020,17475415
Poland,POL,2020,37840001
Portugal,PRT,2020,10347892
Romania,ROU,2020,19186201
Slovakia,SVK,2020,5459781
Slovenia,SVN,2020,2078932
Spain,ESP,2021,47326687
Sweden,SWE,2020,10379295
European Union,OWID_EUN,2020,447007596
United Kingdom,UK,2020,67886004
United States,USA,2020,331002647
Norway,NO,2020,5391369
Iceland,IS,2020,368792
Switzerland,CH,2020,8667088
